鈴木大介八段 vs
 1:32:32 手が泳いだ
 1:32:33 急かすえいじ
 1:32:33 /vote
 1:32:35 指すで
 1:32:37 兄弟子をハラハラさせる
 1:32:40 じめい、気を遣ったな
 1:32:41 兄弟子の権限で、指してストップ
 1:32:47 手が迷ってる
 1:32:47 フェント多いｗ
 1:32:51 相当まよってるな
 1:32:53 ジメイはアンケ待ってるんだよ
 1:32:54 ピクリ
 1:32:55 アンケが終わるまで指さないｗ
 1:33:01 強きｗ
 1:33:03 これは3ですわｗ
 1:33:03 間に合ってます！
 1:33:06 得意気な兄弟子
 1:33:07 全角半角まじりに忙しさを感じるｗ
 1:33:18 /vote
 1:33:19 どやあ～
 1:33:21 ｗ
 1:33:23 あららｗ
 1:33:24 きたああ
 1:33:25 あーあ
 1:33:26 えいじいいいいいいいいいいいいいい
 1:33:26 ｗｗｗｗ
 1:33:27 /vote
 1:33:28 当たったｗ
 1:33:28 ｗｗ
 1:33:29 大穴ｗｗｗ
 1:33:29 その他
 1:33:31 絶妙なタイミングｗ
 1:33:31 ほうじゃろうほうじゃろう
 1:33:34 これは無理！ｗｗｗ
 1:33:34 そんで55
 1:33:36 タイミングはかってたな
 1:33:36 そこかあ
 1:33:41 これは仕方ない
 1:33:43 早いなｗｗｗ
 1:33:58 いたたた
 1:33:59 いたすぎ
 1:34:00 いたーい
 1:34:17 角が質なのは大きい
 1:34:22 なるほどー
 1:34:32 すげえｗ
 1:34:32 ほうほう
 1:34:34 一瞬でわかるんやなあ
 1:34:39 ひゃー
 1:34:39 なので取らないと
 1:34:39 うわぁ
 1:34:51 これは勝負あったか
 1:34:56 ほう
 1:35:01 なるほどお
 1:35:02 なるほど
 1:35:23 先生さすがです
 1:35:25 きたきた
 1:35:30 これ熊よくなりそう
 1:35:39 あなぺー
 1:35:47 ぐぬぬ
 1:35:47 暴力イクナイ！
 1:35:55 ひらいた
 1:36:00 つええｗ
 1:36:03 暴力タイム？
 1:36:20 栄ちゃんの対局が忘れられるのも納得の強さ
 1:36:22 ビジョン持てよ大介
 1:36:30 ポナにリベンジあるか
 1:36:40 解説が休憩できない内容
 1:36:49 ジメイVS　Ponaのリベンジマッチもいいかもな
 1:36:51 大介師匠、がんばれ
 1:36:58 強引に休憩入れましょう
 1:37:07 いつもはこの辺で休憩入るけど、今日は無理だね
 1:37:22 メール「・・・」
 1:37:23 ねらー
 1:37:34 角と飛が並んで幸せになったことない
 1:37:34 そういや、メール読まれてないな
 1:37:48 メールは、バッグの抽選にのみ使います
 1:37:54 メール76件って・・・
 1:38:09 やーです
 1:38:15 これはひどい
 1:38:20 メールの内容「バッグくれ」
 1:38:24 これはもう終わってそう
 1:38:45 はーい
 1:38:58 じめいやったか
 1:39:03 勝負！
 1:39:05 苦しいな
 1:39:05 まさか歩のバックとか
 1:39:07 勝負になるのか
 1:39:14 苦しいと分かってるけど行くしかない感じ
 1:39:15 大介がんばれー
 1:39:32 （逃げろ、逃げろ）
 1:39:42 激痛
 1:39:42 大ちゃん、頑張れー
 1:39:47 ポナは何を読んでるのかねえ
 1:39:47 そろそろBGM蛍の光を
 1:39:56 わお
 1:39:58 (
 1:39:58 大介～
 1:39:58 あら
 1:39:58 1０００桁
 1:39:59 うわ
 1:40:00 うわぁー
 1:40:01 4桁いってますか
 1:40:01 あらー
 1:40:03 まだ2０時なのに
 1:40:07 平安時代？
 1:40:09 島なら感想戦
 1:40:13 どこでこうなった？
 1:40:14 あら・・・棟梁マジか！
 1:40:24 島なら…
 1:40:29 ずいっと
 1:40:32 小学生のバスケじゃないけど諦めたらそこで
 1:40:34 風呂入ってくるか
 1:40:38 ま、メールを全件読むことは可能になるけど
 1:40:43 あれ、高校のバスケやお
 1:40:55 源氏対平氏
 1:40:57 姿焼きしかなかったか
 1:41:05 全員、風呂行っていいよ
 1:41:10 48画なり
 1:41:33 コメ、コピペしましょうか
 1:41:38 ちょっと無理してる感じが
 1:41:39 うへえ
 1:41:40 しびれてませんか？
 1:41:40 野生の・・
 1:41:41 うひょー
 1:41:42 あるんか
 1:41:44 やあん
 1:41:45 ありますか
 1:41:46 この手を解説しないと笑われるよ
 1:41:48 激指先生の推奨手や
 1:41:48 野生の誰だろ
 1:41:49 野生の棋王か
 1:41:50 何やっても後手がいい
 1:41:53 ナベか
 1:41:55 あ、私です
 1:41:56 野生の棋王だわ
 1:41:57 野生の棋王がいるからなあ
 1:42:02 あいたたたた
 1:42:02 ポナは何を読んでいるのだろう
 1:42:03 暴力
 1:42:03 いうてもソフトのコピペっしょ？
 1:42:05 野生のナベ
 1:42:07 野生の高野山か
 1:42:08 野生の全ソフト
 1:42:09 あれ？
 1:42:19 あ、高野山から帰京しました
 1:42:20 なかなかやるやん
 1:42:24 致命傷で済んでるな
 1:42:24 あっ
 1:42:24 ｗｗｗｗｗ
 1:42:25 あっ・・
 1:42:26 お
 1:42:27 ｗｗ
 1:42:29 そうでしたね(^_^;
 1:42:33 さすがは激指先生や
 1:42:42 ヘビーだぜ！
 1:42:51 蛇だな
 1:43:00 学んだ
 1:43:03 当たり前の手だなww
 1:43:08 おー
 1:43:10 おぼえてないってのがいちばん…
 1:43:13 と金ちゃんは放置の一手か
 1:43:14 ｷﾘﾏﾝｼﾞｬﾛ
 1:43:17 だから記憶に（ｒｙ
 1:43:18 ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
 1:43:20 wwww
 1:43:25 悲しい
 1:43:28 普通が村山だろ
 1:43:31 暴力反対
 1:43:31 電王棋士と忘れられる棋士の違いか
 1:43:34 すばらしい
 1:43:35 しなってる
 1:43:38 さすが
 1:43:38 角がダブルで
 1:43:39 駒音高く
 1:43:44 野生強し
 1:43:45 これなのか
 1:43:46 ポナ流
 1:43:46 ちびしい
 1:43:49 57の人強すぎ
 1:43:51 ダブルホーン
 1:43:54 こんな一方的な進み方久々に見るな
 1:43:54 しなってた
 1:43:54 見通しついてる感じ
 1:43:57 野生の棋王さく裂
 1:43:58 結構見るけどな
 1:43:59 だいちゃん飛び上がるな
 1:44:00 あ、私ですか？
 1:44:01 栄ちゃんに見せつけてるんだよ
 1:44:04 島先生なら
 1:44:06 早い終局ありか
 1:44:10 鬼だわ
 1:44:11 Gﾒｲは脂がのってるね、いいね
 1:44:16 ｗｗ
 1:44:17 ｗｗｗ
 1:44:17 ｗｗｗｗ
 1:44:17 ニガワライ
 1:44:17 ｗ
 1:44:18 ｗｗｗ
 1:44:18 苦笑いｗｗ
 1:44:19 7段なら十分一流では・・・
 1:44:20 大介さんは読んでなかったかな？
 1:44:20 wwwww
 1:44:22 よろしく（苦笑
 1:44:25 NHKもあれだけ指してた藤原七段が最後潰されたもんな・・・
 1:44:28 ホールベアーバイオレンスタイム
 1:44:29 今日は、飯島さんがジメイの宣伝するんじゃないのかな
 1:44:30 ﾉｺｯﾀﾉｺｯﾀ
 1:44:33 じめい「解説は誰です？」
 1:44:36 ニコ生ならやっぱりじゃｗ
 1:44:39 これはもう駄目かもしれんな
 1:44:42 激痛
 1:44:46 好調
 1:44:46 島なら
 1:44:48 激指先生の推奨手連発や
 1:44:51 解説してましたっけ？
 1:44:51 もう・・・
 1:44:52 なんか正直な手だな
 1:44:52 ギクシャク
 1:45:03 なんでや島先生関係あるやろ！
 1:45:08 速い
 1:45:08 一方的すぎるわ、ひどい
 1:45:08 すぐに
 1:45:09 さすが
 1:45:09 うったぞー
 1:45:11 はっや
 1:45:11 よんでるなあ
 1:45:12 ですよねー
 1:45:14 友達いらない
 1:45:18 ｗｗｗｗｗ
 1:45:23 すごい
 1:45:25 ですね
 1:45:26 切れないことだけ心配すればいいのかな
 1:45:29 兄弟子いらない
 1:45:29 金ががが
 1:45:29 1０００桁はいってるかな？
 1:45:29 なるほど
 1:45:32 いじめいはよくない
 1:45:41 やさしくなりたい
 1:45:43 ジメイに言ってるんですね
 1:45:52 これは情けない
 1:45:57 鎌倉時代
 1:45:58 鎌倉時代突入
 1:46:19 鹿内
 1:46:35 だいちゃん弱気になってなければなぁ
 1:46:40 しかし分かりやすいなぁ。この譜面ｗ
 1:46:43 長い戦いにして泥仕合にしてくれ
 1:46:47 おせえｗ
 1:46:48 まだねばれるか
 1:46:50 遅いような・・
 1:46:54 終局早いな
 1:47:04 素晴らしい
 1:47:06 さっすが
 1:47:09 素晴らしい！
 1:47:12 大介流やな
 1:47:13 素晴らしい
 1:47:15 ブラボー！オーブラボー！
 1:47:15 だいちゃん生きてるなｗ
 1:47:22 ビューティホー
 1:47:23 大介泥沼流
 1:47:23 ちょっと意外そうな顔？
 1:47:27 広瀬を倒したのは伊達じゃない
 1:47:31 土俵を割らない
 1:47:38 ｺﾚｼｶﾅｲ
 1:47:39 真ん中の画面が光で見えない・・・
 1:47:48 今日は手が見える日の大ちゃんか
 1:47:58 将棋は2度目のミスが致命傷になるByウティ
 1:47:59 ここからが大ちゃんの見せ場だな
 1:48:03 ﾉｺｯﾀﾉｺｯﾀ
 1:48:04 みなさんなら何やります？
 1:48:27 難しくするとあせることあるからな
 1:48:27 みんあい
 1:48:28 みんあい
 1:48:30 記憶に残る対局にしてくれ
 1:48:31 自分なら飛車とっちゃいますな
 1:48:33 カッチカチやぞ
 1:48:35 いきなりひっくり返されると混乱するｗ
 1:48:40 何で急に黒柳のマネ
 1:48:54 黒柳ｗ
 1:48:57 羽生蹴る
 1:48:58 羽生蹴るか
 1:48:59 大分後手いいな
 1:49:06 飛車重いしね
 1:49:07 羽生さんおこ
 1:49:12 野生のT多いなぁ
 1:49:18 ｾｲｶｲﾃﾞｽ（鼻声）
 1:49:19 村山「鈴木先生、叡王戦どうでした？」
 1:49:45 Aperyや激指も間接的に活躍しているな
 1:49:56 あら
 1:50:00 あら
 1:50:02 イタダキですわ
 1:50:02 アカンやん
 1:50:03 意外と粘っこいな
 1:50:14 まあこうなるわな
 1:50:16 タンドリーチキン
 1:50:19 ぴょん
 1:50:19 タンドリーチキン
 1:50:21 こうなるよね
 1:50:22 桂かあ
 1:50:23 パタパタ
 1:50:23 桂を使うのか
 1:50:27 桂が飛びました
 1:50:31 まずと金消しついでにぴょん
 1:50:37 飛車も悲しいかんじ
 1:50:37 解説ありがとうございます
 1:50:38 もう8時～♪
 1:50:49 なるほどー
 1:50:49 もういっちょ飛びました
 1:50:51 ぴょぴょん
 1:50:56 これは道夫や
 1:50:57 桂馬が飛んできた
 1:51:01 ちょっと力なくなってきた？
 1:51:01 駒音がｗ
 1:51:07 あ＾～桂馬がぴょんぴょんするんじゃ＾～
 1:51:12 先手薄すぎ
 1:51:14 ﾜｵｰ
 1:51:25 飛車をおろす？
 1:51:26 でも先手楽しみが出てきたような
 1:51:28 大ちゃん早見えだからわからんぞ
 1:51:50 早い
 1:51:54 大学は
 1:52:10 なんとなく回りたい
 1:52:30 57なら55叩かなくてもよかった？
 1:52:49 あれれ？おかしいですよ
 1:52:52 それで頼む
 1:52:59 これは事件
 1:53:05 これでもまだ
 1:53:10 平和な事件
 1:53:18 こうはならないｗｗｗ
 1:53:24 分からんは俺にはw
 1:54:09 身も蓋もないけど組ませないのが一番だなｗ
 1:54:12 ﾄﾞｷｯ
 1:54:28 ふつうに慈明が強い
 1:54:32 66あたり置いとくか
 1:54:40 いたた
 1:54:54 結局は棋力の問題
 1:55:01 休憩するタイミングがないな
 1:55:18 内容が濃すぎるってことか
 1:55:27 いいとこだけど休憩して頂きたい
 1:55:36 早指しでメールの紹介は無理やろｗ
 1:55:45 53が
 1:55:53 くまにはと金
 1:55:59 いい勝負
 1:56:03 遠い
 1:56:08 もう100手目前
 1:56:09 いやいや
 1:56:30 勝負！
 1:56:34 1000行ってても驚かないな
 1:56:52 この辺り、村山は棋風少し変わったかね
 1:57:10 まあこうくるわな
 1:57:12 当たってますな飯島先生
 1:57:16 勝率高い人は斬りあう印象
 1:57:18 38の金取られたら＼(^o^)／
 1:57:22 つらたん
 1:57:34 将棋だぜー
 1:57:34 15００以上離れてそう
 1:57:39 島なら
 1:58:02 島なら帰りの電車の中
 1:58:02 大介感想戦始めたのか？
 1:58:05 うわぁ・・
 1:58:12 肉を切らせて骨まで断たれる
 1:58:13 島ならタクシー
 1:58:14 ぴったりか
 1:58:18 泣きたくなる
 1:58:20 「いやあわからない」と呟く大介
 1:58:20 やったか
 1:58:24 島はもう帰ったよ
 1:58:32 骨を切らせて、肉を断つ
 1:58:34 （アカン）「」
 1:58:35 江戸時代
 1:58:37 島ならもう家について、酒飲んでるよ
 1:58:41 厳しす
 1:58:42 柴田勝家死亡
 1:58:58 あかんか
 1:58:59 肉を切らせないので骨も断たれない
 1:59:07 太平の江戸時代はもうすぐか
 1:59:13 島なら俺の隣で寝てるよ
 1:59:22 熊は皮が厚すぎて切られない
 1:59:25 歩もきくのか
 1:59:27 そうか
 1:59:31 そうかあ
 1:59:33 大ちゃん「そーうかー」
 1:59:34 ボヤキ始まりました
 1:59:35 参った参った靖国神社
 1:59:45 ととととまつり
 1:59:47 後手はアライグマでなくてヒグマ
 1:59:52 速度が違う
 1:59:54 ここから先手巻き返すのは無理だな
 2:00:00 ジェッとストリーム
 2:00:02 未来
 2:00:03 未来世界
 2:00:05 なかなかの未来
 2:00:05 ｗｗｗｗｗ
 2:00:08 青嶋
 2:00:14 未来少年コナン
 2:00:23 お願いをするか
 2:00:24 ぽなは？
 2:00:25 最後のお願い・・・
 2:00:31 ぺち
 2:00:32 京都～大原三千点♪
 2:00:37 どうしてこうなった
 2:00:52 じめいのいじめだ
 2:00:54 すごい豆乳
 2:00:54 延命にしかならないのかな
 2:00:56 凶暴
 2:01:04 党員がまた減りそうだな・・・
 2:01:10 あれ意外と？
 2:01:11 強い！
 2:01:13 大介いいところなしｗ
 2:01:21 65
 2:01:25 振り党の超新星が現れるしか無いな…
 2:01:27 くまられたらプロはほぼ終わりってことか
 2:01:33 久保が募集かけるから
 2:01:38 駄々っ子の両手ぶん回し的な
 2:01:52 どうなのこれ
 2:01:53 乱暴やなぁ
 2:02:08 こんなん指せんわ
 2:02:13 強い（確信）
 2:02:16 こわいわー
 2:02:36 久保「せやな」
 2:02:58 恐ろしい…
 2:03:15 ポナすげえな
 2:03:17 さて、風呂準備するか
 2:03:21 手止まったし休憩いれたら？
 2:03:23 今いっとかんとな
 2:03:26 記者さん姿勢いいな
 2:03:26 でも大ちゃんの棋風とは違うような
 2:03:26 とはいえ、ナベならもう肩が落ちてる局面と思うが
 2:03:28 タイミング的にいっとかないとやばい
 2:03:30 今行こうｗ
 2:03:32 見えないわー
 2:03:32 みえなくてもソレしか無いなら
 2:03:35 今しかない
 2:03:35 1０分だけ休憩で
 2:03:38 休憩でいいですよｗ
 2:03:39 いいから入れちゃいましょうもったいない
 2:03:42 指すまで休憩
 2:03:44 江戸後期まできたか
 2:03:45 休憩入ると進む・・じゃなくて、終わるパターン
 2:03:46 さっと行ってこよう
 2:03:47 かなり近代
 2:03:54 今のがしたらずっと休憩いけないと思うよｗ
 2:03:56 休憩したら終わるよ
 2:03:57 5分休憩で
 2:04:05 1０分だけはいけると思いますよ
 2:04:10 様子を伺うと休憩なくなりますね
 2:04:12 貞升さんだけ休憩で
 2:04:18 wwwww
 2:04:18 交互に休憩
 2:04:20 ジュース1杯だけね
 2:04:22 いってらー
 2:04:22 トイレぐらいで
 2:04:25 いてら
 2:04:26 いっといれ
 2:04:28 決断の貞升
 2:04:28 いてら
 2:04:29 お疲れ様です
 2:04:30 いってらー
 2:04:31 お疲れ様～
 2:04:32 乙カレー
 2:04:33 おつー
 2:04:36 いっといれ
 2:04:39 サービス精神旺盛だねｗ
 2:04:40 大介「休憩入ったから指すか」
 2:04:41 QK大事
 2:04:41 きめますさん
 2:04:42 Ｔか
 2:04:45 感想戦乱入もあるから今のうちだな
 2:04:46 1812年はグリム童話が出版されました
 2:04:46 執行猶予なくなる前にね
 2:04:51 盤面右上見たくない
 2:04:52 さしますさん
 2:04:57 我慢できなかったんだね
 2:04:57 俺も求刑しよー
 2:04:57 記者さんあそこにいるからチャットはなしか
 2:05:02 フェイント
 2:05:24 あれ、84？
 2:05:34 大ちゃんが指しそうにない手だな
 2:05:40 あれ75
 2:05:42 ほー
 2:05:44 84って・・・
 2:05:51 迷走ぽな
 2:05:56 なんだかんだ66になりそう
 2:05:57 要はもうポナ的にはもう手がない、終わった戦いなんだな
 2:05:57 66まで戻らないかな
 2:05:59 歩成りをどこから睨むか迷うわけか
 2:06:02 75は指さないような
 2:06:08 大ちゃんの棋風じゃないよね
 2:06:13 ぼやいてる
 2:06:22 75は無理やで
 2:06:25 歩を持とうとした
 2:06:28 今1００手目です
 2:06:33 あれ、QK？
 2:06:39 84より75の方がいいのか・・・
 2:06:42 ボヤキタイム
 2:06:49 休　即　投
 2:06:53 めっちゃしゃべってるｗ
 2:06:54 うるさい豚だ
 2:06:55 ぼやくのは自信がある証拠にちがいない
 2:06:55 AO1000
 2:06:58 思考が口から漏れてる
 2:06:59 ぼやきメモ
 2:07:00 ジメイも答えてやらんと
 2:07:03 1人反省会中
 2:07:03 おわったの？
 2:07:05 激指14が出るね
 2:07:08 がんばれー
 2:07:09 うわー
 2:07:10 いやああ
 2:07:10 いやぁ
 2:07:11 いやー
 2:07:13 これどっちの手番???wwww
 2:07:14 感想戦かと思ったぜ
 2:07:15 いやあいやいやいやいや
 2:07:21 先手番
 2:07:21 将棋界三大いやー使いの大介
 2:07:22 もちろん大介
 2:07:23 激指先生14マジで？
 2:07:26 先手
 2:07:28 大ちゃんは正直者だから
 2:07:37 ｼﾞﾒｲ「大介さん・・・ＡＯ戦どうでした？」
 2:07:37 大介の手番なら、大介がぼやいても許せるねww
 2:07:41 激指14発売です
 2:07:47 この前、先崎さんは「どっちだ」って吼えてた
 2:07:53 ぼなの評価は?
 2:07:55 マジかよ、発売いつ？
 2:07:57 紅ちゃんのブログに出てるよ14
 2:08:05 12月発売かな
 2:08:09 ぽなは後手+1800くらい
 2:08:20 もうあちこちで報道されてるじゃん＞激指14
 2:08:29 紅ちゃんと番長が出演
 2:08:29 激指14の広告では何故か紅は女流初段になっている
 2:08:33 天王山の金
 2:08:34 まってました、激指先生
 2:08:41 香川女流三段表記にまだ違和感
 2:08:51 ゆれ
 2:08:53 ゆれてる
 2:08:55 ぴこぴｋ
 2:08:56 最近紅さん勝ってるね
 2:09:01 そろそろ里見さんが三段リーグ抜けてほしい
 2:09:01 思春期
 2:09:03 村山地震
 2:09:10 指さない
 2:09:13 結構、高い振動数でゆれてる
 2:09:15 ビートを刻んでる
 2:09:16 手番でボヤくのはアリ派、三味線じゃなければ
 2:09:19 慈明ここかてば三番勝負までは行けるか
 2:09:23 あれは何Hz?
 2:09:24 いいタイミングで休憩だった
 2:09:25 紅さんはSっ気強そう
 2:09:31 180Hzくらい
 2:09:36 激指1０のコスパは異常
 2:09:37 ジメイの高速ピストン
 2:09:38 リーグ入りは凄いわ　頑張って欲しい
 2:09:39 恒例のじめリズム
 2:09:41 紅は高笑いするよね
 2:09:48 震源地は千駄ヶ谷
 2:09:48 ﾎﾟｯｶｯ
 2:09:53 ジメイが叡王になったら誰彼構わず「叡王戦どうされました？」って聞くのか
 2:09:55 迷ってるなｗ
 2:09:56 里見ｖｓ藤井（総）楽しみだわ
 2:10:00 慈明が3Dに見えてきた
 2:10:02 もう手遅れじゃ
 2:10:09 じめい「残像だ」
 2:10:10 お
 2:10:10 うお
 2:10:12 決断
 2:10:12 うはっ
 2:10:12 3Dww
 2:10:15 ぴしー
 2:10:15 棋神ｗ
 2:10:16 ひゃー
 2:10:17 いい音
 2:10:19 きたー
 2:10:19 58
 2:10:20 ぴしった
 2:10:24 怒ってるのか？
 2:10:25 まもなく再開します
 2:10:25 いいぞー
 2:10:28 目をつぶってバシッと
 2:10:29 大山根性見たわ
 2:10:29 さすが
 2:10:30 いいタイミング
 2:10:32 /cls
 2:10:33 もう再開ｗ
 2:10:34 もう、駒音の高さで張り合ってるね
 2:10:35 休憩もぴったりだったね
 2:10:36 緊急再開
 2:10:38 おかえり
 2:10:39 苦しいなあ
 2:10:40 ゆっくりしてていいのにｗ
 2:10:42 もう5分休んでもいいのに
 2:10:43 せれねします
 2:10:46 おかえりなさい
 2:10:48 緊急謝罪会見
 2:10:49 大ちゃんはこっからやでー
 2:10:49 おかえり～
 2:10:49 おかえり
 2:10:50 お願いします
 2:10:52 おかえり～
 2:10:56 ｵｶヽ(´∀｀
 2:11:03 籠城
 2:11:03 西海枝ました
 2:11:34 救急車なり
 2:11:42 はやくさせ！
 2:12:01 悩んでるｗ
 2:12:04 んー
 2:12:07 今日はよく手が泳ぐ
 2:12:07 んー
 2:12:11 どっちでもかつんでしょ
 2:12:16 φ(ﾟДﾟ
 2:12:25 うお
 2:12:28 さすが
 2:12:33 いいねえ
 2:12:35 読んでましたよの即指し
 2:12:37 すげーな
 2:12:38 ponaと一致
 2:12:43 大山の弟子認定
 2:12:46 大介、流石だ
 2:12:47 大ちゃん頑張ってるなー
 2:12:48 大ちゃんのこういうところ大好き
 2:12:49 おもしろくなってきた
 2:12:52 さすが大介！
 2:12:53 大ちゃんやるね
 2:12:53 よくこんな手浮かぶなあ
 2:12:58 これは全駒されるでしょ
 2:13:03 流れを切って読んだんだね
 2:13:14 あれれ？おかしいですよ
 2:13:16 桂とっておきますか・・・
 2:13:24 さてどうなる
 2:13:33 そうですそうです
 2:13:37 島「」丸山「」
 2:13:41 こうすけが見てるから
 2:13:47 飯島さん遠回しにジメイをｗ
 2:13:48 攻守に効く角だね
 2:13:54 やっぱり大ちゃんかっこいい
 2:13:56 貞升流！
 2:14:06 叡王戦では島さんも粘った
 2:14:07 9択行きましょう
 2:14:12 あ
 2:14:13 貞升流（笑）やめいｗ
 2:14:13 あ
 2:14:13 ｗｗｗｗｗｗｗｗｗｗ
 2:14:13 あ
 2:14:14 あらｗ
 2:14:15 その他
 2:14:15 あｗ
 2:14:15 あ・・・
 2:14:15 98でした
 2:14:15 ｗｗｗｗ
 2:14:15 まにあわじ
 2:14:15 全ハズレ
 2:14:16 その他
 2:14:16 ｗｗｗ
 2:14:16 ほう
 2:14:16 あら
 2:14:17 惜しい
 2:14:17 ｗｗｗｗ
 2:14:18 残念でしたｗｗ
 2:14:19 ｱｰｻｼﾁｬｯﾀﾖｰ
 2:14:19 ありゃ
 2:14:23 ｗｗｗｗｗｗｗｗ
 2:14:24 これは？
 2:14:25 へえ
 2:14:25 まさかの98
 2:14:28 98なんかー
 2:14:28 98か
 2:14:31 これは甘い
 2:14:31 49引っかける？
 2:14:34 目の前に桂があるのに
 2:14:35 やばくない？
 2:14:44 ﾌｰﾅﾙ
 2:14:44 緩手？
 2:14:45 ふなる
 2:14:46 これはおかしいぞ
 2:14:46 とと
 2:14:47 どちらが早いか
 2:14:49 難しくなった？
 2:14:54 クリミス？
 2:14:55 鼻声
 2:14:55 おとと
 2:14:56 なんやて！？
 2:15:03 怪しく・・・
 2:15:08 2・3００ぐらい縮まってそう
 2:15:09 クリックミスだ
 2:15:12 事件記者
 2:15:12 まあそれでもか
 2:15:13 5分かあ
 2:15:17 クリスマス
 2:15:18 せめて一矢を報いてくれ
 2:15:25 基本情報のとこタップすればみれます
 2:15:28 中止
 2:15:32 クリスマスｗ
 2:15:37 熊の目にも涙
 2:15:46 ホットケーキ
 2:15:53 ホットケーキ
 2:16:01 重いけどこれしかない
 2:16:41 ﾑｯﾊｰ
 2:16:43 ビシッ！
 2:16:47 飛角角
 2:16:50 ｗｗｗ
 2:16:53 勝負将棋
 2:16:55 ｗｗ
 2:16:56 や、やさしい
 2:16:59 やさしい？
 2:16:59 優しくはないｗ
 2:17:00 失言の多い弟弟子です
 2:17:02 やさしいかどうかはわからないｗ
 2:17:02 気合入るね
 2:17:02 優しくて忘れっぽい
 2:17:03 やさしい？
 2:17:04 やさすい
 2:17:06 え
 2:17:10 言えば言うほど
 2:17:11 兄弟子思い？
 2:17:12 裏表のないやさしい弟です
 2:17:12 優しいなら忘れないんだよなぁ
 2:17:13 へー
 2:17:13 謝罪もしてくれるし
 2:17:13 ははあ
 2:17:14 兄弟子は思うけどみうみうは思わない
 2:17:15 わろてますやん
 2:17:16 くわー
 2:17:16 底ポーン
 2:17:16 うそっぽいｗｗ
 2:17:17 つええ
 2:17:17 ほうほう
 2:17:17 あれれ？えw
 2:17:17 叡王戦では、優しさを捨てました
 2:17:19 なんか凄い盤面だな
 2:17:21 ねばねば
 2:17:22 がんばった
 2:17:24 渋谷の将棋指し
 2:17:33 なにがなんやら
 2:17:34 兄弟子思い（なお対戦したことは忘れるもよう）
 2:17:38 なんか色々当たっててわからんｗ
 2:17:40 千駄ヶ谷の
 2:17:43 大介ダイブしたな
 2:17:50 ひたすら辛抱してチャンスがくるのを待つ
 2:18:01 凄いことになってきたな
 2:18:16 歩しかないからなあ
 2:18:17 駒った
 2:18:30 おしん流だな
 2:18:36 速度計算簡単だろ
 2:19:02 勝負師やなあ
 2:19:03 藤井にはなにも聞くな
 2:19:07 貞升さんの大好きな歩?
 2:19:19 あと何分？
 2:19:21 あるんかい
 2:19:26 あると思います
 2:19:28 あるじゃないですか
 2:19:42 よし、布団に入ってくる
 2:19:43 藤井が藤井三段に聞け
 2:19:54 ひらがなばっかり
 2:20:05 あ
 2:20:07 ほんとだ
 2:20:08 あ
 2:20:08 王まで100万年かかる
 2:20:09 え
 2:20:09 9999999999999
 2:20:13 おわあ
 2:20:14 お
 2:20:14 便利だなーｗ
 2:20:15 1枚たりないとおもいきや
 2:20:16 見ちゃった
 2:20:17 うっはやばい
 2:20:17 すげええ
 2:20:18 アイヤー
 2:20:20 便利だな
 2:20:32 にゃるほど
 2:20:33 ほえー
 2:20:33 プロもソフトもすごいなあ
 2:20:35 すげえ
 2:20:41 すげーな
 2:20:43 すげええｗｗ
 2:20:44 すごいな
 2:20:46 手が見えるの早いなぁ
 2:20:46 そうかぁ
 2:20:47 さすがプロ七段！
 2:20:47 罠こえー
 2:20:47 近未来
 2:20:48 未来
 2:20:49 飯島先生さすがやで
 2:20:51 未来
 2:20:52 青嶋
 2:20:53 ＭＩＲＡＩ
 2:20:53 プロすげーな
 2:20:54 こえー
 2:20:54 青島
 2:20:54 これは・・・
 2:20:57 ビクーン
 2:20:58 1分か
 2:21:03 わからんぞ
 2:21:10 もう点数は関係ない
 2:21:10 D介11分でかいなー
 2:21:12 地雷原だな
 2:21:12 まかんこうさっぽう
 2:21:12 大介まだ11分
 2:21:14 勝負術はほんとさすがやな
 2:21:16 一手ミスあればわからんな
 2:21:17 凄いなこの読み
 2:21:18 ﾋﾞｰｯｸﾋﾞｯｸﾋﾞｯｸ　ﾋﾞｯｸﾋﾞｸ
 2:21:19 グッズ売ってるだけの人やないで
 2:21:24 でも、これは後手が間違えにくい将棋じゃないかな
 2:21:33 大ちゃんが念じてます
 2:21:40 勝負師だわー
 2:21:44 きたーーーーーーーーーーーーーーーーーー
 2:21:45 やっばい
 2:21:48 みなみよく当たるなぁ
 2:21:49 糸谷かな
 2:21:56 トルイチ
 2:22:01 勝負術
 2:22:02 ファンタあるのか
 2:22:28 びょうっ
 2:22:33 　　
 ／・ω・ ＼
 |⊃ 
 |_____＿| 
 ∪　パパすごい 
 2:22:33 やらいでか
 2:22:36 盛り上がってまいりました
 2:22:45 トイレ行けない
 2:22:45 こっからだ
 2:22:46 さあ
 2:22:49 意外と粘っこいぞ
 2:22:55 ぱちん
 2:22:56 駒割れそう
 2:22:58 駒音高く
 2:22:58 元気になってきた
 2:23:03 ここしかない
 2:23:13 ポナは？
 2:23:18 ﾖｲﾊｯｹﾖｲ
 2:23:19 れーせーに
 2:23:22 方針決めた方が良い
 2:23:23 ここは戻すだろうね
 2:23:23 迷ってるなあ
 2:23:34 飛角角密度高い
 2:23:39 ｺｺｼｶﾅｲ
 2:23:50 お
